name, type, manufacturer, barcode, price
Iphone X,Home Supplies,Apple,1713105199,612.383782863617
Ipad Pro,Home Supplies,Apple,1921690599,916.0341620445251
Macbook Pro,Office Supplies,Apple,1693721866,776.0748863220215
XPS 13,Personal Gadget,Apple,1414004928,870.8106279373169
Noise Cancelling Series 2,Personal Gadget,Apple,1459923086,239.68505859375
Inspiron,Home Supplies,Apple,1730085683,550.4629015922546
Macbook Air,Home Supplies,Apple,1876104085,286.77845001220703
Chips,Office Supplies,Apple,1017984916,481.22280836105347
Milk,Home Appliances,Apple,1289563568,14.19597864151001
Yoghurt,Office Supplies,Apple,1114653642,408.54471921920776
Cheese,Home Appliances,Apple,1291621769,496.00541591644287
Chicken Breast,Home Appliances,Apple,1603551655,511.0764503479004
Frozen Pizza,Home Supplies,Apple,1410197449,162.57494688034058
Bagels,Home Supplies,Apple,1553831352,11.685371398925781
Bread,Home Appliances,Apple,1290532323,175.72569847106934
Cookies,Food,Apple,1016073641,934.6305131912231
Sparkling Water,Home Supplies,Apple,1680734459,625.9687542915344
Energy Drink,Personal Gadget,Apple,1704415921,810.250997543335
Soda,Food,Apple,1246610239,705.1658034324646
Root Beer,Home Appliances,Apple,1576594080,477.27012634277344
Juice,Food,Apple,1920281656,368.5520887374878
Toilet Paper,Personal Gadget,Apple,1295395781,130.5294632911682
Tooth Brush,Home Appliances,Apple,1304380443,910.5270504951477
Mouthwash,Personal Gadget,Apple,1646396827,151.83180570602417
Toothpaste,Food,Apple,1163838178,871.1734414100647
Soap,Office Supplies,Apple,1742348510,427.3800849914551
Shampoo,Food,Apple,1436739363,562.9689693450928
Shower Gel,Office Supplies,Apple,1374556616,71.4566707611084
Dish Soap,Office Supplies,Apple,1571288671,573.075532913208
Towels,Food,Apple,1802015933,157.54228830337524
Cutlery,Personal Gadget,Apple,1575201130,935.0342154502869
Sanitizer,Office Supplies,Apple,1991541400,10.682404041290283
Laundry Detergent,Food,Apple,1564920634,369.3881034851074
Fabric Softener,Home Appliances,Apple,1243893812,284.86597537994385
Dishwasher,Food,Apple,1083795548,426.04517936706543
Refrigerator,Food,Apple,1934785690,773.3980417251587
TV,Home Supplies,Apple,1170106112,398.065447807312
Sound System,Home Appliances,Apple,1954149592,156.26215934753418
Microwave,Personal Gadget,Apple,1387683491,158.60044956207275
Oven,Food,Apple,1296255907,544.4499254226685
Electric Kettle,Personal Gadget,Apple,1464451284,257.1682929992676
Coffee Maker,Food,Apple,1106908988,245.9639310836792
Heater,Personal Gadget,Apple,1138844454,621.1541295051575
Humidifier,Home Appliances,Apple,1567380052,51.10114812850952
Gaming Console,Home Appliances,Apple,1502632134,481.86689615249634
Pen,Home Supplies,Apple,1038927486,55.72521686553955
Pencil,Home Appliances,Apple,1903730202,885.7612013816833
Notepad,Personal Gadget,Apple,1423315327,541.2110090255737
Sticky Notes,Home Appliances,Apple,1077298407,580.2673101425171
Calendar,Home Appliances,Apple,1245890998,279.87539768218994
Planner,Home Supplies,Apple,1991567129,665.4231548309326
Highlighter,Office Supplies,Apple,1336379383,296.9149947166443
Sharpener,Home Supplies,Apple,1200841680,178.1410574913025
Notebook,Home Appliances,Apple,1482064989,196.68513536453247
Journal,Office Supplies,Apple,1707029455,492.0702576637268
Diary,Personal Gadget,Apple,1137572142,645.7500457763672
Printer,Personal Gadget,Apple,1248488133,854.863166809082
Trashcan,Home Supplies,Apple,1289738980,131.28942251205444
Chair,Home Appliances,Apple,1007294156,594.0694212913513
Tape,Home Supplies,Apple,1255466708,205.58327436447144
Eraser,Food,Apple,1290089825,66.34169816970825
Iphone X,Home Appliances,Dell,1410889431,750.45245885849
Ipad Pro,Home Appliances,Dell,1271027685,631.2457323074341
Macbook Pro,Home Supplies,Dell,1253349522,405.367374420166
XPS 13,Home Appliances,Dell,1256153381,145.44785022735596
Noise Cancelling Series 2,Office Supplies,Dell,1440710590,895.7467079162598
Inspiron,Personal Gadget,Dell,1645643634,305.7602047920227
Macbook Air,Office Supplies,Dell,1458341424,160.6590747833252
Chips,Home Supplies,Dell,1233057892,746.4317083358765
Milk,Home Supplies,Dell,1771139578,639.2602324485779
Yoghurt,Office Supplies,Dell,1229209439,8.78453254699707
Cheese,Home Supplies,Dell,1930333046,951.0018229484558
Chicken Breast,Office Supplies,Dell,1363078998,257.0359706878662
Frozen Pizza,Office Supplies,Dell,1342228561,254.73272800445557
Bagels,Food,Dell,1164669497,85.76935529708862
Bread,Home Supplies,Dell,1753918902,445.68729400634766
Cookies,Home Supplies,Dell,1536749186,640.497088432312
Sparkling Water,Home Supplies,Dell,1970193140,837.0612859725952
Energy Drink,Personal Gadget,Dell,1576590696,7.199466228485107
Soda,Home Appliances,Dell,1653117282,255.07479906082153
Root Beer,Home Supplies,Dell,1308249370,889.3477320671082
Juice,Food,Dell,1053193276,374.406099319458
Toilet Paper,Personal Gadget,Dell,1164426240,717.0850038528442
Tooth Brush,Food,Dell,1226513005,346.56161069869995
Mouthwash,Personal Gadget,Dell,1238940017,773.9139795303345
Toothpaste,Food,Dell,1269378740,179.6640157699585
Soap,Home Appliances,Dell,1181331645,698.0366110801697
Shampoo,Home Appliances,Dell,1679563381,157.4615240097046
Shower Gel,Personal Gadget,Dell,1179804691,850.6239652633667
Dish Soap,Home Supplies,Dell,1476458379,721.8685150146484
Towels,Home Supplies,Dell,1473856632,839.6252989768982
Cutlery,Home Supplies,Dell,1791157804,461.46202087402344
Sanitizer,Home Supplies,Dell,1840492761,758.7249875068665
Laundry Detergent,Personal Gadget,Dell,1398028840,63.11291456222534
Fabric Softener,Personal Gadget,Dell,1235375612,25.828778743743896
